Area,Site (MPA/ REF),Common Name,Month,Length (cm),Depth Released (ft),Year
PL,MPA,Blue Rockfish,August,33,85,2007
PL,MPA,Blue Rockfish,August,33,85,2007
PL,MPA,Blue Rockfish,August,19,85,2007
PL,MPA,Blue Rockfish,August,25,85,2007
PL,MPA,Blue Rockfish,August,33,85,2007
PL,MPA,Blue Rockfish,August,34,85,2007
PL,MPA,Blue Rockfish,August,31,85,2007
PL,MPA,Blue Rockfish,August,25,85,2007
PL,MPA,Blue Rockfish,August,29,87,2007
PL,MPA,Blue Rockfish,August,22,87,2007
PL,MPA,Blue Rockfish,August,34,87,2007
PL,MPA,Blue Rockfish,August,25,87,2007
PL,MPA,Blue Rockfish,August,23,87,2007
PL,MPA,Blue Rockfish,August,33,87,2007
PL,MPA,Blue Rockfish,August,26,87,2007
PL,MPA,Blue Rockfish,August,24,87,2007
PL,MPA,Blue Rockfish,August,28,87,2007
PL,MPA,Blue Rockfish,August,28,87,2007
PL,MPA,Blue Rockfish,August,23,87,2007
PL,MPA,Blue Rockfish,August,25,87,2007
PL,MPA,Blue Rockfish,August,30,87,2007
PL,MPA,Blue Rockfish,August,35,87,2007
PL,MPA,Blue Rockfish,August,29,87,2007
PL,MPA,Blue Rockfish,August,23,87,2007
PL,MPA,Blue Rockfish,August,29,87,2007
PL,MPA,Blue Rockfish,August,28,87,2007
PL,MPA,Blue Rockfish,August,24,78,2007
PL,MPA,Blue Rockfish,August,25,78,2007
PL,MPA,Blue Rockfish,August,34,78,2007
PL,MPA,Blue Rockfish,August,28,78,2007
PL,MPA,Blue Rockfish,August,23,78,2007
PL,MPA,Blue Rockfish,August,24,78,2007
PL,MPA,Blue Rockfish,August,24,78,2007
PL,MPA,Blue Rockfish,August,28,78,2007
PL,MPA,Blue Rockfish,August,28,74,2007
PL,MPA,Blue Rockfish,August,34,74,2007
PL,MPA,Blue Rockfish,August,31,74,2007
PL,MPA,Blue Rockfish,August,31,74,2007
PL,MPA,Blue Rockfish,August,29,74,2007
PL,MPA,Blue Rockfish,August,27,74,2007
PL,MPA,Blue Rockfish,August,30,74,2007
PL,MPA,Blue Rockfish,August,33,74,2007
PL,MPA,Blue Rockfish,August,28,74,2007
PL,MPA,Blue Rockfish,August,29,74,2007
PL,MPA,Blue Rockfish,August,30,74,2007
PL,MPA,Blue Rockfish,August,32,74,2007
PL,MPA,Blue Rockfish,August,26,74,2007
PL,MPA,Blue Rockfish,August,30,74,2007
PL,MPA,Blue Rockfish,August,31,74,2007
PL,MPA,Blue Rockfish,August,34,74,2007
PL,MPA,Blue Rockfish,August,28,74,2007
PL,MPA,Blue Rockfish,August,36,74,2007
PL,MPA,Blue Rockfish,August,32,74,2007
